Year,State,Pop,Beneficiaries,Pct_Bene
2005,US_Total,186150307,9900578,5.3
2005,Alabama,2864322,253441,8.8
2005,Alaska,431311,15400,3.6
2005,Arizona,3600675,171693,4.8
2005,Arkansas,1719082,147356,8.6
2005,California,22561711,1009478,4.5
2005,Colorado,3019556,100826,3.3
2005,Connecticut,2201141,96775,4.4
2005,Delaware,535431,27791,5.2
2005,District of Columbia,370476,21299,5.7
2005,Florida,10728827,568127,5.3
2005,Georgia,5839432,297430,5.1
2005,Hawaii,800804,30069,3.8
2005,Idaho,890999,41420,4.6
2005,Illinois,7992258,373654,4.7
2005,Indiana,3891620,201838,5.2
2005,Iowa,1860313,84976,4.6
2005,Kansas,1713397,75355,4.4
2005,Kentucky,2667481,262537,9.8
2005,Louisiana,2844396,195052,6.9
2005,Maine,851505,64697,7.6
2005,Maryland,3552867,141861,4.0
2005,Massachusetts,4087881,239167,5.9
2005,Michigan,6338092,374962,5.9
2005,Minnesota,3279980,130912,4.0
2005,Mississippi,1814151,167037,9.2
2005,Missouri,3648907,227413,6.2
2005,Montana,601842,29222,4.9
2005,Nebraska,1093608,45447,4.2
2005,Nevada,1520491,60483,4.0
2005,New Hampshire,843684,41815,5.0
2005,New Jersey,5426768,227005,4.2
2005,New Mexico,1204000,71048,5.9
2005,New York,12193682,700358,5.7
2005,North Carolina,5488103,344095,6.3
2005,North Dakota,406509,15656,3.9
2005,Ohio,7175500,401648,5.6
2005,Oklahoma,2225580,134644,6.0
2005,Oregon,2321206,108618,4.7
2005,Pennsylvania,7720030,476444,6.2
2005,Rhode Island,681060,43923,6.4
2005,South Carolina,2692901,185386,6.9
2005,South Dakota,477133,20813,4.4
2005,Tennessee,3822486,270117,7.1
2005,Texas,14261838,606414,4.3
2005,Utah,1511008,42897,2.8
2005,Vermont,408449,22676,5.6
2005,Virginia,4877794,236107,4.8
2005,Washington,4082520,188187,4.6
2005,West Virginia,1155991,131226,11.4
2005,Wisconsin,3518573,162826,4.6
2005,Wyoming,332936,12957,3.9
2006,US_Total,188402570,10180455,5.4
2006,Alabama,2869132,262425,9.1
2006,Alaska,442989,16178,3.7
2006,Arizona,3747834,174850,4.7
2006,Arkansas,1729265,152550,8.8
2006,California,22993421,1025293,4.5
2006,Colorado,3106890,104460,3.4
2006,Connecticut,2216080,99238,4.5
2006,Delaware,535536,28755,5.4
2006,District of Columbia,395318,22108,5.6
2006,Florida,11030629,577939,5.2
2006,Georgia,5996047,305390,5.1
2006,Hawaii,808047,30842,3.8
2006,Idaho,903012,43651,4.8
2006,Illinois,8082250,381789,4.7
2006,Indiana,3951672,208599,5.3
2006,Iowa,1836234,86865,4.7
2006,Kansas,1710529,76925,4.5
2006,Kentucky,2669249,268981,10.1
2006,Louisiana,2674421,201418,7.5
2006,Maine,847941,66470,7.8
2006,Maryland,3604628,145818,4.0
2006,Massachusetts,4132347,245856,5.9
2006,Michigan,6356423,384511,6.0
2006,Minnesota,3282443,136319,4.2
2006,Mississippi,1788963,169233,9.5
2006,Missouri,3647230,234299,6.4
2006,Montana,596192,30240,5.1
2006,Nebraska,1088643,46440,4.3
2006,Nevada,1584066,62481,3.9
2006,New Hampshire,854641,44607,5.2
2006,New Jersey,5507480,231521,4.2
2006,New Mexico,1203069,74018,6.2
2006,New York,12269155,710214,5.8
2006,North Carolina,5624167,355851,6.3
2006,North Dakota,398059,16268,4.1
2006,Ohio,7175977,409913,5.7
2006,Oklahoma,2211633,141367,6.4
2006,Oregon,2366319,112370,4.7
2006,Pennsylvania,7750425,494483,6.4
2006,Rhode Island,682193,44784,6.6
2006,South Carolina,2728200,189321,6.9
2006,South Dakota,476055,21383,4.5
2006,Tennessee,3826988,278668,7.3
2006,Texas,14679359,640398,4.4
2006,Utah,1533326,45765,3.0
2006,Vermont,407553,23586,5.8
2006,Virginia,4948269,244079,4.9
2006,Washington,4131162,195714,4.7
2006,West Virginia,1150707,134768,11.7
2006,Wisconsin,3519942,168202,4.8
2006,Wyoming,330460,13252,4.0
2007,US_Total,189831466,10440382,5.5
2007,Alabama,2878558,269559,9.4
2007,Alaska,453325,16574,3.7
2007,Arizona,3848498,178144,4.6
2007,Arkansas,1737152,159469,9.2
2007,California,23165698,1046147,4.5
2007,Colorado,3176151,108723,3.4
2007,Connecticut,2209809,101904,4.6
2007,Delaware,541440,29958,5.5
2007,District of Columbia,404831,28298,7.0
2007,Florida,11109319,585418,5.3
2007,Georgia,6070309,308243,5.1
2007,Hawaii,813700,32924,4.0
2007,Idaho,916744,45206,4.9
2007,Illinois,8104608,387847,4.8
2007,Indiana,3963330,215571,5.4
2007,Iowa,1838195,88151,4.8
2007,Kansas,1719699,79019,4.6
2007,Kentucky,2687997,275380,10.2
2007,Louisiana,2691310,209312,7.8
2007,Maine,842754,68954,8.2
2007,Maryland,3597738,149173,4.1
2007,Massachusetts,4157960,253401,6.1
2007,Michigan,6344814,392462,6.2
2007,Minnesota,3301123,141089,4.3
2007,Mississippi,1785467,171283,9.6
2007,Missouri,3665214,240187,6.6
