,RegName,State
0,Northeast Region,Connecticut
1,Northeast Region,Maine
2,Northeast Region,Massachusetts
3,Northeast Region,New Hampshire
4,Northeast Region,Rhode Island
5,Northeast Region,Vermont
6,Northeast Region,New Jersey
7,Northeast Region,New York
8,Northeast Region,Pennsylvania
9,Midwest Region,Illinois
10,Midwest Region,Indiana
11,Midwest Region,Michigan
12,Midwest Region,Ohio
13,Midwest Region,Wisconsin
14,Midwest Region,Iowa
15,Midwest Region,Kansas
16,Midwest Region,Minnesota
17,Midwest Region,Missouri
18,Midwest Region,Nebraska
19,Midwest Region,North Dakota
20,Midwest Region,South Dakota
21,South Region,Delaware
22,South Region,District of Columbia
23,South Region,Florida
24,South Region,Georgia
25,South Region,Maryland
26,South Region,North Carolina
27,South Region,South Carolina
28,South Region,Virginia
29,South Region,West Virginia
30,South Region,Alabama
31,South Region,Kentucky
32,South Region,Mississippi
33,South Region,Tennessee
34,South Region,Arkansas
35,South Region,Louisiana
36,South Region,Oklahoma
37,South Region,Texas
38,West Region,Arizona
39,West Region,Colorado
40,West Region,Idaho
41,West Region,Montana
42,West Region,Nevada
43,West Region,New Mexico
44,West Region,Utah
45,West Region,Wyoming
46,West Region,Alaska
47,West Region,California
48,West Region,Hawaii
49,West Region,Oregon
50,West Region,Washington
